Size(1D),Time(ns)
1,404588
2,3311
3,2979
4,2649
5,2648
6,2649
7,2649
8,2649
9,2979
10,2980
11,2979
12,2980
13,3311
14,3311
15,2979
16,3310
17,3310
18,6953
19,3642
20,3642
21,3311
22,3642
23,3642
24,3973
25,3642
26,3642
27,3973
28,3973
29,4304
30,3642
31,4304
32,3973
33,5628
34,4304
35,3973
36,10595
37,4304
38,4304
39,4304
40,4305
41,4304
42,4304
43,7946
44,4635
45,4635
46,4966
47,4966
48,4635
49,4636
50,4967
51,4966
52,5960
53,5297
54,4967
55,5298
56,5959
57,5629
58,5960
59,5628
60,5629
61,5628
62,5628
63,5629
64,5629
65,6621
66,6291
67,8608
68,6290
69,5959
70,6290
71,5959
72,6291
73,7284
74,6622
75,6291
76,5959
77,6291
78,6622
79,6952
80,6621
81,6953
82,6291
83,6953
84,6291
85,6622
86,11588
87,6621
88,6953
89,7284
90,12250
91,7283
92,7615
93,6622
94,6953
95,6953
96,7284
97,7615
98,7284
99,7284
100,6953
101,7284
102,10595
103,7946
104,7946
105,7946
106,7946
107,7946
108,8940
109,7946
110,7946
111,20528
112,3310
113,2980
114,2980
115,2649
116,3642
117,2980
118,2649
119,2649
120,2649
121,2979
122,3311
123,2649
124,2649
125,2649
126,2648
127,2649
128,3310
129,3642
130,2980
131,2648
132,2980
133,2980
134,3642
135,2979
136,2980
137,2649
138,2980
139,2979
140,3973
141,3311
142,2979
143,2980
144,2980
145,2980
146,2980
147,2980
148,2979
149,3311
150,3311
151,3311
152,3310
153,3311
154,2979
155,3311
156,2980
157,2980
158,2980
159,4304
160,18541
161,2980
162,2979
163,2980
164,2980
165,2649
166,2980
167,4305
168,2979
169,2649
170,2979
171,2979
172,2980
173,3311
174,2980
175,2980
176,3311
177,2979
178,2980
179,2980
180,652903
181,3642
182,3311
183,3311
184,3311
185,3310
186,3311
187,3311
188,3311
189,3311
190,4635
191,3311
192,3642
193,3311
194,3311
195,3311
196,3311
197,6952
198,3642
199,3311
200,4635
201,2649
202,2980
203,2980
204,2979
205,3311
206,2979
207,2979
208,2979
209,2980
210,2980
211,4966
212,2980
213,2980
214,2979
215,2980
216,2980
217,2980
218,3311
219,2979
220,2980
221,2980
222,3311
223,2980
224,3311
225,3311
226,13906
227,3311
228,3311
229,16885
230,3311
231,3311
232,3311
233,3310
234,3311
235,3311
236,3311
237,3311
238,3642
239,3311
240,3642
241,4304
242,3642
243,3311
244,3311
245,3311
246,3642
247,5628
248,3311
249,3641
250,3642
251,3311
252,3642
253,3642
254,3311
255,3642
256,4304
257,3973
258,3642
259,3973
260,3973
261,3974
262,3973
263,5629
264,3973
265,3973
266,3641
267,3642
268,3642
269,3642
270,3974
271,3973
272,3973
273,3642
274,3642
275,3642
276,3642
277,3643
278,55291
279,3973
280,3973
281,3973
282,3973
283,3973
284,3973
285,3973
286,4304
287,3973
288,4304
289,3973
290,3973
291,4304
292,36089
293,3973
294,3973
295,4304
296,4304
297,4304
298,3973
299,3973
300,4304
301,4305
302,4304
303,3973
304,4305
305,4304
306,40062
307,1656
308,1324
309,1324
310,1325
311,1324
312,1324
313,993
314,1324
315,1324
316,993
317,993
318,993
319,1324
320,2318
321,1325
322,1325
323,1324
324,993
325,1324
326,1324
327,1324
328,10926
329,1656
330,1325
331,1324
332,1324
333,1324
334,1324
335,1324
336,1325
337,1325
338,1324
339,1324
340,1324
341,1324
342,1324
343,1324
344,1656
345,994
346,1325
347,1324
348,1324
349,1325
350,1655
351,1324
352,1324
353,1656
354,1324
355,1656
356,1324
357,1655
358,1324
359,1987
360,1656
361,1325
362,1325
363,1325
364,1325
365,1324
366,1324
367,1324
368,1324
369,1324
370,1324
371,1324
372,1324
373,1655
374,1325
375,1656
376,1655
377,1324
378,1655
379,1325
380,1656
381,1655
382,1655
383,1655
384,1655
385,1325
386,1324
387,1656
388,1655
389,1325
390,1325
391,1655
392,1324
393,1656
394,1325
395,1655
396,1655
397,2317
398,1655
399,1324
400,1656
401,1655
402,1324
403,1655
404,1656
405,1656
406,1655
407,1655
408,1655
409,1656
410,1656
411,1656
412,1324
413,1324
414,1655
415,1655
416,1655
417,1656
418,1986
419,1656
420,1655
421,1656
422,1655
423,1655
424,1324
425,1656
426,1655
427,1655
428,1324
429,1656
430,1655
431,1655
432,1655
433,2980
434,5959
435,2980
436,2649
437,2980
438,2649
439,2980
440,4304
441,2649
442,3642
443,2979
444,2979
445,3642
446,3310
447,15230
448,13906
449,8939
450,3311
451,3311
452,3311
453,3311
454,3973
455,3311
456,3310
457,2648
458,3311
459,3311
460,2649
461,3311
462,2980
463,2980
464,2980
465,1987
466,1655
467,1986
468,1986
469,1655
470,1655
471,1656
472,1987
473,1656
474,1655
475,1987
476,1324
477,1655
478,1656
479,1987
480,1986
481,1987
482,1987
483,1655
484,1987
485,1987
486,2318
487,1656
488,1987
489,1987
490,2318
491,1986
492,2318
493,2317
494,1986
495,1655
496,1986
497,1986
498,2980
499,1986
500,1987
501,2317
502,2318
503,1987
504,2980
505,3642
506,1987
507,1987
508,2649
509,2318
510,2318
511,2649
512,2318
513,2318
514,2649
515,1987
516,2980
517,3311
518,2980
519,1987
520,1987
521,2318
522,3642
523,4635
524,5297
525,3642
526,3973
527,3642
528,2979
529,2980
530,1987
531,2318
532,2980
533,2318
534,3642
535,3642
536,1987
537,2980
538,2649
539,2318
540,3311
541,1986
