Size(n),Runtime(ns)
1000,275341
1100,224957
1200,230018
1300,91683
1400,103672
1500,45426
1600,43501
1700,50575
1800,58836
1900,60401
2000,65279
2100,347554
2200,100317
2300,93328
2400,93984
2500,88876
2600,89638
2700,97391
2800,94020
2900,103002
3000,102915
3100,104015
3200,114840
3300,126432
3400,125579
3500,129435
3600,127604
3700,138464
3800,135116
3900,142664
4000,149207
4100,153145
4200,159205
4300,165804
4400,169995
4500,164708
4600,172472
4700,179857
4800,181581
4900,179085
5000,184583
5100,205125
5200,199954
5300,212451
5400,224990
5500,209618
5600,225035
5700,226331
5800,233973
5900,231330
6000,255082
6100,254337
6200,249172
6300,259739
6400,283909
6500,297246
6600,282241
6700,283162
6800,292738
6900,282077
7000,308927
7100,311817
7200,321918
7300,325843
7400,339495
7500,321894
7600,361803
7700,366820
7800,369621
7900,357175
8000,381301
8100,362366
8200,399842
8300,393121
8400,400126
8500,387525
8600,399894
8700,348009
8800,396518
8900,409251
9000,442545
9100,423091
9200,438675
9300,397743
9400,447799
9500,415980
9600,432750
9700,420756
9800,440084
9900,452361
10000,457859
